id_localizacao,concelho,distrito,freguesia
87564,Santarém,Santarém,Arneiro Das Milhariças
87565,Valpaços,Vila Real,Canaveses
87566,Beja,Beja,Trigaches
87567,Guarda,Guarda,Vila Garcia
87568,Castro Daire,Viseu,Gafanhão
87569,Oliveira De Azeméis,Aveiro,Loureiro
87570,Ponte De Lima,Viana Do Castelo,Cabaços
87571,Barcelos,Braga,Vila Boa
87572,Torres Vedras,Lisboa,Monte Redondo
87573,Vimioso,Bragança,Vimioso
87574,Castelo Branco,Castelo Branco,Póvoa De Rio De Moinhos
87575,Fundão,Castelo Branco,Orca
87576,Pombal,Leiria,Redinha
87577,Arganil,Coimbra,Anceriz
87578,Espinho,Aveiro,Guetim
87579,Póvoa De Lanhoso,Braga,Louredo
87580,Ponte Da Barca,Viana Do Castelo,Crasto
87581,Barcelos,Braga,Arcozelo
87582,Valpaços,Vila Real,Nozelos
87583,Crato,Portalegre,Monte Da Pedra
87584,Castelo Branco,Castelo Branco,Escalos De Baixo
87585,Idanha-A-Nova,Castelo Branco,Ladoeiro
87586,Ovar,Aveiro,Arada
87587,Tondela,Viseu,São Miguel Do Outeiro
87588,Póvoa De Lanhoso,Braga,Moure
87589,Alcanena,Santarém,Serra De Santo António
87590,Valpaços,Vila Real,Fornos Do Pinhal
87591,Mirandela,Bragança,Cobro
87592,Elvas,Portalegre,Alcáçova
87593,Odemira,Beja,São Martinho Das Amoreiras
87594,Ponte De Lima,Viana Do Castelo,Ponte De Lima
87595,Valença,Viana Do Castelo,Silva
87596,Monção,Viana Do Castelo,Anhões
87597,Barcelos,Braga,Rio Covo (Santa Eulália)
87598,Vila Verde,Braga,Turiz
87599,Torres Vedras,Lisboa,Outeiro Da Cabeça
87600,Elvas,Portalegre,Caia E São Pedro
87601,Monforte,Portalegre,Santo Aleixo
87602,Cuba,Beja,Vila Alva
87603,Santa Comba Dão,Viseu,Ovoa
87604,Santarém,Santarém,Santa Iria Da Ribeira De Santarém
87605,Arruda Dos Vinhos,Lisboa,Cardosas
87606,Vinhais,Bragança,Vale De Janeiro
87607,Vimioso,Bragança,Campo De Víboras
87608,Ovar,Aveiro,Maceda
87609,Leiria,Leiria,Monte Real
87610,Paredes,Porto,Cristelo
87611,Paredes,Porto,Sobreira
87612,Arcos De Valdevez,Viana Do Castelo,Eiras
87613,Amares,Braga,Torre
87614,Cascais,Lisboa,Parede
87615,Murça,Vila Real,Valongo De Milhais
