id,data,year,gust_max,is_dry_day,is_high_wind_day,location_id,precip_hours,precip_sum,pressure_msl,radiation,sunshine,temp_max,temp_mean,temp_min,wind_dir,wind_max
2531,20240122,2024,13,false,false,942,,0.1,,2.58,157.74,10.2,8.45,6.7,96,5
2596,20240122,2024,19.4,false,false,653,,8.1,,1.75,0,10.7,9.399999999999999,8.1,155,6.8
2628,20240122,2024,32.8,true,false,2308,,0,,6.97,21234.57,12.7,8.7,4.7,225,14.8
2532,20240123,2024,14,true,false,942,,0,,5.36,18000,13.6,10.5,7.4,23,6.5
2597,20240123,2024,18.4,false,false,653,,0.6,,7.48,27817.03,16.2,11.95,7.7,112,8
2629,20240123,2024,21.2,true,false,2308,,0,,9.51,27726.95,16.6,11.9,7.2,108,9.7
2533,20240124,2024,14.8,true,false,942,,0,,8.22,24755.83,13.6,10.55,7.5,6,7.3
2598,20240124,2024,24.1,true,false,653,,0,,10.12,31140.2,19.4,13.549999999999999,7.7,99,11.9
2630,20240124,2024,20.9,true,false,2308,,0,,8.57,23551.15,15.2,10.75,6.3,97,8.8
103,20240125,2024,14.4,true,false,1168,,0,,10.57,31210.66,15.6,11.4,7.2,50,8.7
104,20240125,2024,35.6,true,false,2712,,0,,10.68,31208,15.9,10.8,5.7,165,11.7
2534,20240125,2024,14,true,false,942,,0,,8.36,30129.61,12.5,9.1,5.7,351,5.1
2599,20240125,2024,15.8,true,false,653,,0,,10.5,31200.08,18,13.5,9,112,5.7
2631,20240125,2024,19.4,true,false,2308,,0,,10.11,31635.75,14.3,9.15,4,63,9.1
105,20240126,2024,13.3,true,false,1315,,0,,8.38,24646.43,15.7,11.1,6.5,50,6.4
2535,20240126,2024,15.1,true,false,942,,0,,9.33,29145.1,13.4,8.55,3.7,336,5.8
2600,20240126,2024,28.8,true,false,653,,0,,9.82,30104.81,18.8,13.25,7.7,92,13
2632,20240126,2024,20.5,true,false,2308,,0,,8.77,23849.04,11.6,8.65,5.7,46,7.6
106,20240127,2024,32,true,false,647,,0,,8.99,29768.63,18.6,12.950000000000001,7.3,115,11.8
107,20240127,2024,32,true,false,647,,0,,8.99,29768.63,17.4,11.799999999999999,6.2,115,11.8
2536,20240127,2024,14.4,true,false,942,,0,,9.12,31445.41,14.1,8.65,3.2,336,4.7
2601,20240127,2024,30.6,true,false,653,,0,,8.43,30577.7,18.2,13.35,8.5,96,13.3
2633,20240127,2024,22,true,false,2308,,0,,8.77,29520.28,16,9.85,3.7,111,12.3
108,20240128,2024,44.3,true,false,450,,0,,8.64,25241.08,17.5,13.3,9.1,158,17.6
109,20240128,2024,32.8,true,false,1581,,0,,8.8,25402.86,16.1,10.8,5.5,128,10.7
110,20240128,2024,25.6,true,false,829,,0,,8.63,29953.04,12.4,8.6,4.8,126,9.6
111,20240128,2024,20.2,true,false,1823,,0,,8.56,28816.83,14.3,9.850000000000001,5.4,60,10.5
2537,20240128,2024,15.1,true,false,942,,0,,8.65,30873.31,14.3,9.2,4.1,13,5.8
